frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,left_arm_up,left_arm_down,left_leg_up,left_leg_down,right_arm_up,right_arm_down,right_leg_up,right_leg_down,jump,duck
-1.0,111.0,-2.0,-2.0,1950.0,8.666,9.0,6.0,7.667,9.334,10.0,9.0,10.666,0.666,0.0
-1.0,110.0,-2.0,-2.0,1960.0,9.666,9.0,4.667,6.333,8.0,8.334,4.667,5.667,3.333,0.0
-1.0,106.0,-2.0,-2.0,1970.0,6.5,6.5,4.35,5.9,7.1,7.8,3.8,5.55,3.5,0.0
-1.0,222.0,-2.0,-2.0,1980.0,10.416,11.0,8.916,10.25,8.834,9.5,5.083,6.333,7.25,1.667
-1.0,230.0,-2.0,-2.0,1990.0,12.916,12.834,7.0,8.334,14.166,14.166,6.0,7.333,0.834,3.083
-1.0,169.0,-2.0,-2.0,2000.0,11.614,11.546,6.796,7.772,10.318,10.182,6.272,7.341,3.614,3.386
-1.0,405.0,-2.0,-2.0,2010.0,12.778,13.028,8.847,10.125,11.334,11.069,6.069,7.444,4.583,1.75
