frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,distance_all_body,distance_head,distance_upper_body,distance_lower_body,distance_arms,distance_legs,distance_left_arm,distance_right_arm,distance_left_leg,distance_right_leg
-1,51,1,-1,1950,3.8700000000000006,1.5370000000000001,1.067,1.1409999999999996,1.067,1.1409999999999996,0.06499999999999995,0.17400000000000004,0.05200000000000001,0.04500000000000001
-1,51,-2,-2,1950,3.87,1.537,1.067,1.141,1.067,1.141,0.065,0.174,0.052,0.045
-1,23,1,-1,1960,2.573,0.7130000000000001,0.936,0.585,0.936,0.585,0.02500000000000001,0.03899999999999995,0.041999999999999954,0.036000000000000004
-1,23,-2,-2,1960,2.573,0.713,0.936,0.585,0.936,0.585,0.025,0.039,0.042,0.036
-1,43,1,-1,1970,1.084,0.9070000000000004,0.15799999999999975,0.42200000000000004,0.15799999999999975,0.42200000000000004,0.11500000000000002,0.05399999999999995,0.099,0.14999999999999997
-1,37,2,-1,1970,3.3689999999999998,0.6310000000000002,0.7749999999999998,0.9470000000000003,0.7749999999999998,0.9470000000000003,0.13999999999999996,0.062,0.030999999999999982,0.07199999999999995
-1,33,3,-1,1970,1.9799999999999995,0.5800000000000001,0.8489999999999998,0.6469999999999999,0.8489999999999998,0.6469999999999999,0.18200000000000002,0.16899999999999998,0.028000000000000032,0.04300000000000002
-1,46,4,-1,1970,1.937,0.3080000000000001,1.3079999999999998,0.28599999999999987,1.3079999999999998,0.28599999999999987,0.35800000000000004,0.398,0.022999999999999923,0.03700000000000002
-1,50,5,-1,1970,2.2730000000000006,0.6910000000000002,0.44699999999999984,0.1640000000000001,0.44699999999999984,0.1640000000000001,0.06699999999999992,0.11100000000000003,0.07500000000000001,0.06199999999999997
-1,209,-2,-2,1970,2.129,0.623,0.707,0.493,0.707,0.493,0.172,0.159,0.051,0.073
-1,80,1,-1,1980,1.341,1.7029999999999992,0.7880000000000007,0.29899999999999993,0.7880000000000007,0.29899999999999993,0.22699999999999998,0.14800000000000002,0.08700000000000001,0.08000000000000002
-1,46,2,-1,1980,1.0989999999999998,1.6559999999999997,0.584,0.3020000000000001,0.584,0.3020000000000001,0.09299999999999989,0.10099999999999987,0.05099999999999999,0.04500000000000004
-1,53,3,-1,1980,20.000999999999994,1.4690000000000003,4.8790000000000004,4.9399999999999995,4.8790000000000004,4.9399999999999995,0.06499999999999997,0.261,0.017999999999999954,0.09799999999999986
-1,45,4,-1,1980,1.9370000000000007,0.6050000000000002,0.6399999999999999,0.7799999999999998,0.6399999999999999,0.7799999999999998,0.16799999999999998,0.199,0.30700000000000005,0.221
-1,224,-2,-2,1980,6.094,1.358,1.723,1.58,1.723,1.58,0.138,0.177,0.116,0.111
-1,40,1,-1,1990,0.8289999999999996,1.0480000000000005,0.529,0.23600000000000002,0.529,0.23600000000000002,0.1339999999999999,0.06,0.021999999999999978,0.021999999999999967
-1,74,2,-1,1990,2.0470000000000006,1.069,0.839,0.882,0.839,0.882,0.06400000000000014,0.32199999999999995,0.344,0.316
