frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
290,29,1,1,1950,0.026,0.002,-0.021,0.047,-0.021,0.047,-0.006,-0.009,0.018,0.036,0.014,0.012,0.02,0.027,0.047,0.048,0.008,0.012,0.016,0.019,0.013,0.019
295,30,1,1,1950,0.274,0.037,0.23,0.035,0.23,0.035,0.108,0.107,0.053,0.036,0.044,0.041,0.063,0.077,0.082,0.076,0.041,0.03,0.023,0.027,0.026,0.029
300,31,1,1,1950,-0.737,0.013,-0.444,-0.004,-0.444,-0.004,-0.065,-0.164,-0.011,0.096,0.018,0.008,0.035,0.008,0.071,0.014,0.026,0.032,0.045,0.08,0.008,0.07
305,32,1,1,1950,0.581,0.013,0.272,-0.139,0.272,-0.139,-0.052,0.095,-0.029,-0.025,0.023,0.017,0.031,0.055,0.018,0.053,0.024,0.034,0.025,0.067,0.001,0.056
310,33,1,1,1950,-0.428,0.005,-0.175,-0.112,-0.175,-0.112,-0.054,-0.078,-0.032,-0.134,0.003,0.005,0.005,0.024,0.01,0.018,0.004,0.003,0.008,0.014,0.006,0.006
315,34,1,1,1950,0.565,0.008,0.111,0.164,0.111,0.164,-0.002,-0.019,-0.008,0.006,0.001,0.002,0.004,0.016,0.011,0.01,0.003,0.006,0.004,0.007,0.003,0.016
320,35,1,1,1950,0.021,0.016,0.246,0.042,0.246,0.042,0.106,0.119,0.032,0.008,0.016,0.021,0.021,0.027,0.085,0.099,0.012,0.012,0.022,0.013,0.008,0.012
325,36,1,1,1950,-0.52,0.023,-0.268,0.029,-0.268,0.029,0.024,-0.067,0.013,0.056,0.03,0.043,0.051,0.029,0.065,0.008,0.014,0.033,0.013,0.038,0.028,0.022
335,0,2,2,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,1,2,2,1950,0.197,0.014,0.091,0.092,0.091,0.092,0.036,0.055,0.059,0.033,0.013,0.007,0.007,0.013,0.016,0.035,0.009,0.003,0.023,0.01,0.027,0.02
345,2,2,2,1950,-0.4,0.014,-0.071,-0.146,-0.071,-0.146,0.054,-0.034,-0.05,-0.004,0.026,0.003,0.036,0.004,0.028,0.014,0.002,0.001,0.001,0.02,0.006,0.008
350,3,2,2,1950,0.371,0.017,-0.022,0.173,-0.022,0.173,-0.03,0.028,0.088,0.031,0.009,0.014,0.018,0.019,0.033,0.016,0.012,0.005,0.05,0.035,0.035,0.02
355,4,2,2,1950,-0.448,0.003,-0.062,-0.221,-0.062,-0.221,-0.046,-0.018,-0.053,-0.049,0.003,0.003,0.004,0.009,0.007,0.019,0.004,0.002,0.025,0.001,0.015,0.008
360,5,2,2,1950,0.517,0.007,0.095,0.135,0.095,0.135,0.014,0.017,0.0,0.033,0.008,0.012,0.007,0.004,0.013,0.032,0.003,0.002,0.018,0.031,0.023,0.011
365,6,2,2,1950,-0.305,0.01,-0.059,-0.019,-0.059,-0.019,-0.002,-0.026,0.002,0.012,0.008,0.002,0.004,0.009,0.014,0.011,0.003,0.001,0.019,0.029,0.024,0.026
370,7,2,2,1950,0.183,0.012,0.181,-0.078,0.181,-0.078,0.106,0.047,-0.021,-0.043,0.005,0.014,0.018,0.021,0.109,0.034,0.004,0.005,0.015,0.001,0.006,0.007
375,8,2,2,1950,-0.356,0.017,-0.298,0.04,-0.298,0.04,-0.118,-0.027,-0.022,-0.002,0.004,0.009,0.002,0.014,0.008,0.019,0.0,0.001,0.001,0.001,0.002,0.009
380,9,2,2,1950,0.447,0.031,0.149,0.026,0.149,0.026,0.015,-0.011,0.004,-0.002,0.012,0.013,0.006,0.007,0.011,0.011,0.004,0.002,0.002,0.003,0.001,0.004
385,10,2,2,1950,-0.177,0.006,0.018,0.005,0.018,0.005,-0.005,0.027,0.0,0.007,0.003,0.001,0.008,0.017,0.013,0.04,0.004,0.005,0.001,0.004,0.002,0.007
390,11,2,2,1950,0.139,0.005,0.082,0.081,0.082,0.081,0.064,0.04,0.042,0.046,0.017,0.02,0.007,0.029,0.064,0.049,0.018,0.021,0.012,0.027,0.019,0.014
395,12,2,2,1950,-0.295,0.018,-0.095,-0.05,-0.095,-0.05,0.025,-0.016,0.051,-0.013,0.021,0.024,0.012,0.03,0.08,0.028,0.03,0.022,0.046,0.017,0.024,0.01
400,13,2,2,1950,0.021,0.008,-0.054,-0.06,-0.054,-0.06,-0.057,0.012,-0.062,0.04,0.007,0.013,0.011,0.021,0.038,0.06,0.014,0.014,0.009,0.052,0.015,0.023
405,14,2,2,1950,0.058,0.008,-0.035,-0.021,-0.035,-0.021,-0.018,-0.062,0.001,-0.044,0.003,0.014,0.001,0.012,0.034,0.006,0.009,0.011,0.012,0.013,0.018,0.021
410,15,2,2,1950,0.247,0.01,0.161,0.028,0.161,0.028,0.065,0.016,-0.019,0.004,0.003,0.007,0.018,0.008,0.082,0.033,0.004,0.008,0.004,0.034,0.012,0.007
415,16,2,2,1950,-0.218,0.025,-0.109,0.065,-0.109,0.065,0.008,-0.036,0.044,0.006,0.006,0.005,0.004,0.002,0.101,0.005,0.009,0.005,0.038,0.011,0.017,0.039
420,17,2,2,1950,-0.048,0.018,0.036,-0.121,0.036,-0.121,-0.002,0.01,-0.04,-0.031,0.011,0.002,0.037,0.005,0.061,0.015,0.002,0.003,0.013,0.006,0.009,0.015
425,18,2,2,1950,0.368,0.024,0.076,0.201,0.076,0.201,-0.024,0.108,0.107,0.023,0.019,0.035,0.026,0.023,0.04,0.072,0.023,0.023,0.039,0.002,0.069,0.022
430,19,2,2,1950,-0.286,0.019,-0.05,0.046,-0.05,0.046,0.068,-0.034,0.073,0.103,0.051,0.037,0.06,0.027,0.042,0.032,0.053,0.043,0.051,0.039,0.1,0.068
435,20,2,2,1950,-0.056,0.029,0.04,-0.11,0.04,-0.11,0.005,0.069,-0.116,0.182,0.033,0.08,0.059,0.068,0.066,0.017,0.012,0.072,0.066,0.084,0.01,0.176
440,21,2,2,1950,-0.2,0.021,-0.179,-0.083,-0.179,-0.083,0.01,-0.115,0.146,-0.163,0.056,0.005,0.078,0.014,0.034,0.031,0.02,0.011,0.087,0.078,0.127,0.08
450,23,2,2,1950,5.997,0.472,2.759,2.525,2.759,2.525,1.518,1.136,1.328,1.18,0.505,0.42,0.55,0.399,0.631,0.367,0.521,0.45,0.55,0.467,0.491,0.432
455,24,2,2,1950,-16.108,0.043,-5.039,-5.356,-5.039,-5.356,-1.58,-0.805,-1.549,-1.299,0.016,0.029,0.031,0.136,0.059,0.216,0.005,0.017,0.002,0.024,0.006,0.009
460,25,2,2,1950,15.294,0.028,2.098,2.816,2.098,2.816,-0.002,-0.285,0.003,-0.035,0.002,0.016,0.017,0.039,0.085,0.041,0.006,0.003,0.001,0.007,0.009,0.005
465,26,2,2,1950,-4.615,0.038,0.222,0.067,0.222,0.067,-0.05,-0.015,0.03,0.005,0.006,0.031,0.022,0.013,0.026,0.037,0.014,0.014,0.023,0.003,0.009,0.003
470,27,2,2,1950,-0.277,0.007,0.108,-0.065,0.108,-0.065,0.016,0.027,-0.018,-0.012,0.003,0.007,0.031,0.055,0.036,0.046,0.005,0.006,0.018,0.001,0.005,0.001
475,28,2,2,1950,0.052,0.036,0.017,0.049,0.017,0.049,0.042,0.018,0.001,0.018,0.011,0.01,0.086,0.046,0.015,0.07,0.019,0.019,0.01,0.005,0.0,0.002
