frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
165,0,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,1,1,1,1950,0.21,0.027,0.163,0.02,0.163,0.02,0.094,0.069,0.011,0.009,0.022,0.014,0.04,0.012,0.032,0.043,0.004,0.004,0.001,0.002,0.006,0.003
175,2,1,1,1950,-0.381,0.03,-0.22,0.019,-0.22,0.019,-0.025,-0.032,0.015,0.024,0.027,0.017,0.033,0.015,0.009,0.005,0.017,0.012,0.008,0.001,0.001,0.02
180,3,1,1,1950,0.173,0.006,0.04,-0.044,0.04,-0.044,-0.022,0.005,-0.006,0.001,0.02,0.017,0.02,0.014,0.007,0.011,0.012,0.013,0.007,0.005,0.001,0.016
185,4,1,1,1950,-0.028,0.007,-0.003,-0.03,-0.003,-0.03,-0.019,-0.001,-0.01,-0.025,0.012,0.011,0.011,0.011,0.005,0.019,0.002,0.002,0.004,0.004,0.004,0.003
190,5,1,1,1950,0.075,0.002,-0.004,0.051,-0.004,0.051,-0.008,-0.016,0.009,0.007,0.007,0.008,0.008,0.01,0.005,0.007,0.009,0.008,0.006,0.006,0.004,0.002
195,6,1,1,1950,-0.058,0.002,0.014,-0.025,0.014,-0.025,-0.008,-0.002,-0.008,-0.001,0.005,0.004,0.004,0.008,0.003,0.011,0.004,0.005,0.004,0.007,0.003,0.003
200,7,1,1,1950,0.011,0.003,-0.005,0.004,-0.005,0.004,0.003,-0.018,0.0,-0.005,0.007,0.002,0.006,0.002,0.002,0.001,0.005,0.004,0.003,0.005,0.003,0.001
205,8,1,1,1950,0.026,0.0,0.023,0.005,0.023,0.005,-0.002,0.01,0.0,0.0,0.008,0.003,0.004,0.005,0.001,0.007,0.004,0.004,0.004,0.005,0.003,0.001
210,9,1,1,1950,-0.062,0.002,-0.025,-0.011,-0.025,-0.011,-0.006,-0.011,-0.005,-0.006,0.003,0.0,0.003,0.001,0.001,0.003,0.002,0.002,0.003,0.001,0.001,0.001
215,10,1,1,1950,0.061,0.003,0.015,0.009,0.015,0.009,-0.003,0.001,-0.002,0.0,0.0,0.0,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.001,0.001,0.002
220,11,1,1,1950,-0.024,0.001,0.001,0.001,0.001,0.001,0.0,-0.001,-0.001,0.0,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.0,0.002
225,12,1,1,1950,0.156,0.007,0.144,0.008,0.144,0.008,0.07,0.073,0.003,0.004,0.007,0.014,0.038,0.035,0.029,0.028,0.003,0.007,0.002,0.001,0.001,0.0
230,13,1,1,1950,-0.019,0.044,-0.012,0.108,-0.012,0.108,0.129,0.002,0.076,0.039,0.047,0.048,0.019,0.02,0.137,0.011,0.037,0.03,0.026,0.014,0.019,0.003
235,14,1,1,1950,-0.617,0.019,-0.312,-0.184,-0.312,-0.184,-0.164,-0.017,-0.051,-0.018,0.012,0.018,0.006,0.02,0.021,0.024,0.009,0.009,0.015,0.009,0.007,0.011
240,15,1,1,1950,0.661,0.002,0.131,0.051,0.131,0.051,-0.023,-0.027,-0.01,-0.008,0.005,0.016,0.004,0.013,0.007,0.006,0.004,0.005,0.008,0.014,0.009,0.002
245,16,1,1,1950,-0.097,0.014,0.062,0.011,0.062,0.011,0.035,-0.023,-0.001,-0.006,0.008,0.005,0.011,0.003,0.032,0.004,0.003,0.003,0.006,0.007,0.011,0.005
