frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,left_arm_up,left_arm_down,left_leg_up,left_leg_down,right_arm_up,right_arm_down,right_leg_up,right_leg_down,jump,duck
145,0,1,1,1950,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,1,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2,1,1,1950,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,3,1,1,1950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,4,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,5,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,6,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,7,1,1,1950,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,8,1,1,1950,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,9,1,1,1950,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,10,1,1,1950,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200,11,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,12,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,13,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,14,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,15,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,16,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,17,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,18,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,19,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,20,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
